GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
config-migration,com.quorum.tessera.config.migration,Main,11,13,0,0,5,4,1,1,1,1
config-migration,com.quorum.tessera.config.migration,TomlConfigFactory,0,554,0,20,0,118,0,27,0,17
config-migration,com.quorum.tessera.config.migration,LegacyCliAdapter,0,959,0,20,0,319,0,24,0,14
config-migration,com.quorum.tessera.config.builder,JdbcConfigFactory,0,57,0,6,0,9,0,4,0,1
config-migration,com.quorum.tessera.config.builder,ConfigBuilderException,0,4,0,0,0,2,0,1,0,1
config-migration,com.quorum.tessera.config.builder,ConfigBuilder,0,476,0,10,0,141,0,40,0,35
config-migration,com.quorum.tessera.config.builder,SslTrustModeFactory.new HashMap() {...},0,33,0,0,0,8,0,1,0,1
config-migration,com.quorum.tessera.config.builder,SslTrustModeFactory,0,12,0,0,0,3,0,2,0,2
config-migration,com.quorum.tessera.config.builder,KeyDataBuilder,0,112,0,4,0,22,0,10,0,8
