GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
encryption-api,com.quorum.tessera.nacl,NaclFacadeFactory,0,6,0,0,0,1,0,1,0,1
encryption-api,com.quorum.tessera.nacl,Nonce,0,38,1,3,0,7,1,6,0,5
encryption-api,com.quorum.tessera.nacl,NaclException,0,4,0,0,0,2,0,1,0,1
encryption-api,com.quorum.tessera.nacl,Key,0,45,0,4,0,8,0,8,0,6
encryption-api,com.quorum.tessera.nacl,KeyException,0,5,0,0,0,2,0,1,0,1
encryption-api,com.quorum.tessera.nacl,KeyPair,0,54,0,6,0,10,0,8,0,5
